LOCATION,SUBJECT,TIME,mates,ciencia,Lectura
RUS,BOY,2012,481.394,483.532,455.147
RUS,BOY,2015,497,489,481
RUS,BOY,2018,490,477,466
RUS,GIRL,2009,467,480,482
RUS,GIRL,2012,482.944,489.058,495.144
RUS,GIRL,2015,491,485,507
RUS,GIRL,2018,485,478,491
SVN,BOY,2006,507,515,467
SVN,BOY,2009,502,505,456
SVN,BOY,2012,502.748,509.882,454.466
SVN,BOY,2015,512,510,484
SVN,BOY,2018,509,502,475
SVN,GIRL,2006,502,523,521
SVN,GIRL,2009,501,519,511
SVN,GIRL,2012,499.387,518.717,510.15
SVN,GIRL,2015,508,516,528
SVN,GIRL,2018,509,512,517
OAVG,BOY,2006,499.706,499.441,470.061
OAVG,BOY,2009,501.382,500.853,474.088
OAVG,BOY,2012,499.421,501.863,477.832
OAVG,BOY,2015,494,495,479
OAVG,BOY,2018,492,488,472
OAVG,GIRL,2006,488.588,497.118,508.576
OAVG,GIRL,2009,489.794,500.824,513.235
OAVG,GIRL,2012,488.551,500.406,515.427
OAVG,GIRL,2015,486,491,506
OAVG,GIRL,2018,487,490,502
LVA,BOY,2015,481,485,467
LVA,BOY,2018,500,483,462
LVA,GIRL,2015,483,496,509
LVA,GIRL,2018,493,491,495
AUS,TOT,2006,520,527,513
AUS,TOT,2009,514,527,515
AUS,TOT,2012,504,521,512
AUS,TOT,2015,494,510,503
AUS,TOT,2018,491,503,503
AUT,TOT,2006,505,511,490
AUT,TOT,2012,506,506,490
AUT,TOT,2015,497,495,485
AUT,TOT,2018,499,490,484
BEL,TOT,2006,520,510,501
BEL,TOT,2009,515,507,506
BEL,TOT,2012,515,505,509
BEL,TOT,2015,507,502,499
BEL,TOT,2018,508,499,493
CAN,TOT,2006,527,534,527
CAN,TOT,2009,527,529,524
CAN,TOT,2012,518,525,523
CAN,TOT,2015,516,528,527
CAN,TOT,2018,512,518,520
CZE,TOT,2006,510,513,483
CZE,TOT,2009,493,500,478
CZE,TOT,2012,499,508,493
CZE,TOT,2015,492,493,487
CZE,TOT,2018,499,497,490
DNK,TOT,2006,513,496,494
DNK,TOT,2009,503,499,495
DNK,TOT,2012,500,498,496
DNK,TOT,2015,511,502,500
DNK,TOT,2018,509,493,501
FIN,TOT,2006,548,563,547
FIN,TOT,2009,541,554,536
FIN,TOT,2012,519,545,524
FIN,TOT,2015,511,531,526
FIN,TOT,2018,507,522,520
FRA,TOT,2006,496,495,488
FRA,TOT,2009,497,498,496
FRA,TOT,2012,495,499,505
FRA,TOT,2015,493,495,499
FRA,TOT,2018,495,493,493
DEU,TOT,2006,504,516,495
DEU,TOT,2009,513,520,497
DEU,TOT,2012,514,524,508
DEU,TOT,2015,506,509,509
DEU,TOT,2018,500,503,498
GRC,TOT,2006,459,473,460
GRC,TOT,2009,466,470,483
GRC,TOT,2012,453,467,477
GRC,TOT,2015,454,455,467
GRC,TOT,2018,451,452,457
HUN,TOT,2006,491,504,482
HUN,TOT,2009,490,503,494
HUN,TOT,2012,477,494,488
HUN,TOT,2015,477,477,470
HUN,TOT,2018,481,481,476
ISL,TOT,2006,506,491,484
ISL,TOT,2009,507,496,500
ISL,TOT,2012,493,478,483
ISL,TOT,2015,488,473,482
ISL,TOT,2018,495,475,474
IRL,TOT,2006,501,508,517
IRL,TOT,2009,487,508,496
IRL,TOT,2012,501,522,523
IRL,TOT,2015,504,503,521
IRL,TOT,2018,500,496,518
ITA,TOT,2006,462,475,469
ITA,TOT,2009,483,489,486
ITA,TOT,2012,485,494,490
ITA,TOT,2015,490,481,485
ITA,TOT,2018,487,468,476
JPN,TOT,2006,523,531,498
JPN,TOT,2009,529,539,520
JPN,TOT,2012,536,547,538
JPN,TOT,2015,532,538,516
JPN,TOT,2018,527,529,504
KOR,TOT,2006,547,522,556
KOR,TOT,2009,546,538,539
KOR,TOT,2012,554,538,536
KOR,TOT,2015,524,516,517
KOR,TOT,2018,526,519,514
LUX,TOT,2006,490,486,479
LUX,TOT,2009,489,484,472
LUX,TOT,2012,490,491,488
LUX,TOT,2015,486,483,481
LUX,TOT,2018,483,477,470
MEX,TOT,2006,406,410,410
MEX,TOT,2009,419,416,425
MEX,TOT,2012,413,415,424
MEX,TOT,2015,408,416,423
MEX,TOT,2018,409,419,420
NLD,TOT,2006,531,525,507
NLD,TOT,2009,526,522,508
NLD,TOT,2012,523,522,511
NLD,TOT,2015,512,509,503
NLD,TOT,2018,519,503,485
NZL,TOT,2006,522,530,521
NZL,TOT,2009,519,532,521
NZL,TOT,2012,500,516,512
NZL,TOT,2015,495,513,509
NZL,TOT,2018,494,508,506
NOR,TOT,2006,490,487,484
NOR,TOT,2009,498,500,503
NOR,TOT,2012,489,495,504
NOR,TOT,2015,502,498,513
NOR,TOT,2018,501,490,499
POL,TOT,2006,495,498,508
POL,TOT,2009,495,508,500
POL,TOT,2012,518,526,518
POL,TOT,2015,504,501,506
POL,TOT,2018,516,511,512
PRT,TOT,2006,466,474,472
PRT,TOT,2009,487,493,489
PRT,TOT,2012,487,489,488
PRT,TOT,2015,492,501,498
PRT,TOT,2018,492,492,492
SVK,TOT,2006,492,488,466
SVK,TOT,2009,497,490,477
SVK,TOT,2012,482,471,463
SVK,TOT,2015,475,461,453
SVK,TOT,2018,486,464,458
ESP,TOT,2006,480,488,461
ESP,TOT,2009,483,488,481
ESP,TOT,2012,484,496,488
ESP,TOT,2015,486,493,496
SWE,TOT,2006,502,503,507
SWE,TOT,2009,494,495,497
SWE,TOT,2012,478,485,483
SWE,TOT,2015,494,493,500
SWE,TOT,2018,502,499,506
CHE,TOT,2006,530,512,499
CHE,TOT,2009,534,517,501
CHE,TOT,2012,531,515,509
CHE,TOT,2015,521,506,492
CHE,TOT,2018,515,495,484
TUR,TOT,2006,424,424,447
TUR,TOT,2009,445,454,464
TUR,TOT,2012,448,463,475
TUR,TOT,2015,420,425,428
TUR,TOT,2018,454,468,466
GBR,TOT,2006,495,515,495
GBR,TOT,2009,492,514,494
GBR,TOT,2012,494,514,499
GBR,TOT,2015,492,509,498
GBR,TOT,2018,502,505,504
USA,TOT,2009,487,502,500
USA,TOT,2012,481,497,498
USA,TOT,2015,470,496,497
USA,TOT,2018,478,502,505
BRA,TOT,2006,370,390,393
BRA,TOT,2009,386,405,412
BRA,TOT,2012,389,402,407
BRA,TOT,2015,377,401,407
BRA,TOT,2018,384,404,413
CHL,TOT,2006,411,438,442
CHL,TOT,2009,421,447,449
CHL,TOT,2012,423,445,441
CHL,TOT,2015,423,447,459
CHL,TOT,2018,417,444,452
EST,TOT,2006,515,531,501
EST,TOT,2009,512,528,501
EST,TOT,2012,521,541,516
EST,TOT,2015,520,534,519
EST,TOT,2018,523,530,523
IDN,TOT,2006,391,393,393
IDN,TOT,2009,371,383,402
IDN,TOT,2012,375,382,396
IDN,TOT,2015,386,403,397
IDN,TOT,2018,379,396,371
ISR,TOT,2006,442,454,439
ISR,TOT,2009,447,455,474
ISR,TOT,2012,466,470,486
ISR,TOT,2015,470,467,479
ISR,TOT,2018,463,462,470
LVA,TOT,2006,486,490,479
LVA,TOT,2009,482,494,484
LVA,TOT,2012,491,502,489
LVA,TOT,2015,482,490,488
LVA,TOT,2018,496,487,479
RUS,TOT,2006,476,478,440
RUS,TOT,2009,468,486,459
RUS,TOT,2012,482,487,475
RUS,TOT,2018,488,478,479
SGP,BOY,2015,564,559,525
SGP,GIRL,2015,564,552,546
SVN,TOT,2006,504,519,494
SVN,TOT,2009,501,512,483
SVN,TOT,2012,501,514,481
SVN,TOT,2015,510,513,505
SVN,TOT,2018,509,507,495
OAVG,TOT,2012,494,501,496
OAVG,TOT,2015,490,493,493
OAVG,TOT,2018,489,489,487
COL,TOT,2015,390,416,425
COL,TOT,2018,391,413,412
COL,BOY,2015,395,421,417
COL,BOY,2018,401,420,407
COL,GIRL,2015,384,411,432
COL,GIRL,2018,381,407,417
HKG,TOT,2015,548,523,527
HKG,BOY,2015,549,523,513
HKG,GIRL,2015,547,524,541
PER,TOT,2015,387,397,398
PER,BOY,2015,391,402,394
PER,GIRL,2015,382,392,401
SGP,TOT,2015,564,556,535
TWN,TOT,2015,542,532,497
TWN,BOY,2015,545,535,485
TWN,GIRL,2015,539,530,510
MAC,TOT,2015,544,529,509
MAC,BOY,2015,540,525,493
MAC,GIRL,2015,548,532,525
CRI,TOT,2018,402,416,426
CRI,BOY,2018,411,420,419
CRI,GIRL,2018,394,411,434
LTU,TOT,2018,481,482,476
LTU,BOY,2018,480,479,457
LTU,GIRL,2018,482,485,496
